lang;forum;title;original_author;start_date;end_date;range;time;nb_authors;nb_replies;avg_post_length;url
en;en_cosmetic_breasts;7 hours post op- second time round;sophieleanne31;2013-03-23;2013-03-23;0;0;6;21;572;http://forum.sofeminine.co.uk/forum/f52/__f55637_f52-7-hours-post-op-second-time-round-d.html
en;en_cosmetic_breasts;Numbness;wozzajo;2013-03-16;2013-03-16;0;0;3;5;185;http://forum.sofeminine.co.uk/forum/f52/__f55572_f52-Numbness.html
en;en_cosmetic_breasts;Wired one girls!!;excitedvicky;2013-03-14;2013-03-14;0;0;2;2;241;http://forum.sofeminine.co.uk/forum/f52/__f55535_f52-Wired-one-girls.html
en;en_cosmetic_breasts;"Scared... ;0(";boobaa16;2013-02-07;2013-02-07;0;0;7;46;245;http://forum.sofeminine.co.uk/forum/f52/__f55130_f52-Scared-0.html
en;en_cosmetic_breasts;All done  25th feb abbey pines;jboobie2;2013-02-27;2013-02-27;0;0;2;8;446;http://forum.sofeminine.co.uk/forum/f52/__f55342_f52-All-done-25th-feb-abbey-pines.html
en;en_cosmetic_breasts;Birkdale clinic girlies?! xxx;mrsr3;2013-01-23;2013-01-26;3;3;7;42;377;http://forum.sofeminine.co.uk/forum/f52/__f54959_f52-Birkdale-clinic-girlies-xxx.html
en;en_cosmetic_breasts;Dr hardy the new birkdale clini crosby;debbie88a;2013-02-12;2013-02-16;4;4;3;7;562;http://forum.sofeminine.co.uk/forum/f52/__f55188_f52-Dr-hardy-the-new-birkdale-clini-crosby.html
en;en_cosmetic_breasts;Implants & uplift;lauracarter2;2012-12-03;2012-12-04;1;1;3;9;411;http://forum.sofeminine.co.uk/forum/f52/__f54581_f52-Implants-uplift.html
en;en_cosmetic_breasts;Sleeping tablets;kellyrobbo;2008-10-04;2008-10-04;0;0;5;6;309;http://forum.sofeminine.co.uk/forum/f52/__f11280_f52-Sleeping-tablets.html
en;en_cosmetic_breasts;Waiting to shower...??;sarahh1224;2012-10-25;2012-10-25;0;0;6;7;269;http://forum.sofeminine.co.uk/forum/f52/__f54199_f52-Waiting-to-shower.html
en;en_cosmetic_breasts;Unders - how much pain when you wake up?;iwantniceboobs;2012-09-13;2012-09-16;3;3;9;17;202;http://forum.sofeminine.co.uk/forum/f52/__f53680_f52-Unders-how-much-pain-when-you-wake-up.html
en;en_cosmetic_breasts;Traynor,payne +more help pls;chiquita9811;2012-07-08;2012-08-29;52;52;1;1;782;http://forum.sofeminine.co.uk/forum/f52/__f52671_f52-Traynor-payne-more-help-pls.html
en;en_cosmetic_breasts;Ba and looking after children;pebbles361;2012-08-15;2012-08-15;0;0;5;6;301;http://forum.sofeminine.co.uk/forum/f52/__f53240_f52-Ba-and-looking-after-children.html
en;en_cosmetic_breasts;Scars;fitnessfreakkaz1;2012-07-17;2012-07-19;2;2;8;14;183;http://forum.sofeminine.co.uk/forum/f52/__f52809_f52-Scars.html
en;en_cosmetic_breasts;The hospital group breast implants;laralouiseschibler;2012-07-12;2012-07-12;0;0;7;7;217;http://forum.sofeminine.co.uk/forum/f52/__f52742_f52-The-hospital-group-breast-implants.html
en;en_cosmetic_breasts;4 weeks post op and iv got stitches hanging out!!;caffy5;2008-02-12;2008-02-12;0;0;5;6;264;http://forum.sofeminine.co.uk/forum/f52/__f4631_f52-4-weeks-post-op-and-iv-got-stitches-hanging-out.html
en;en_cosmetic_breasts;Is this usual?;pebbles361;2012-07-24;2012-07-24;0;0;4;6;721;http://forum.sofeminine.co.uk/forum/f52/__f52929_f52-Is-this-usual.html
en;en_cosmetic_breasts;210 or 230?? do they look smaller if they're under? help!;sunshinelady1982;2012-04-13;2012-04-13;0;0;12;28;442;http://forum.sofeminine.co.uk/forum/f52/__f50540_f52-210-or-230-do-they-look-smaller-if-they-re-under-help.html
en;en_cosmetic_breasts;Help girlies... i'm worried!;beckylou8320;2012-07-07;2012-07-07;0;0;3;4;823;http://forum.sofeminine.co.uk/forum/f52/__f52649_f52-Help-girlies-i-m-worried.html
en;en_cosmetic_breasts;Couple new pics up! 365&410cc - 12wks post op.x;laurenellouise92;2012-07-01;2012-07-07;6;6;7;11;160;http://forum.sofeminine.co.uk/forum/f52/__f52554_f52-Couple-new-pics-up-365-410cc-12wks-post-op-x.html
en;en_cosmetic_breasts;Painfull hard lump from cannula ???;mrs07;2012-06-29;2012-06-29;0;0;3;4;192;http://forum.sofeminine.co.uk/forum/f52/__f52523_f52-Painfull-hard-lump-from-cannula.html
en;en_cosmetic_breasts;19 wks po & going back the gym;gogglebox79;2012-06-25;2012-06-25;0;0;4;5;260;http://forum.sofeminine.co.uk/forum/f52/__f52441_f52-19-wks-po-going-back-the-gym.html
en;en_cosmetic_breasts;New to all this!;christapn6;2012-06-24;2012-06-24;0;0;2;6;343;http://forum.sofeminine.co.uk/forum/f52/__f52433_f52-New-to-all-this.html
en;en_cosmetic_breasts;Starting to panic about how painful it will be!!!;beckylou8320;2012-06-18;2012-06-18;0;0;2;3;325;http://forum.sofeminine.co.uk/forum/f52/__f52301_f52-Starting-to-panic-about-how-painful-it-will-be.html
en;en_expecting_a_baby;Hmmmm-adament no more but...;racheybutton;2013-06-04;2013-06-05;1;1;3;6;346;http://forum.sofeminine.co.uk/forum/maternite1/__f14939_maternite1-Hmmmm-adament-no-more-but.html
en;en_expecting_a_baby;Pregnant with 2nd & really scared - please help!;jenn904;2013-03-18;2013-03-18;0;0;1;1;1465;http://forum.sofeminine.co.uk/forum/maternite1/__f14905_maternite1-Pregnant-with-2nd-really-scared-please-help.html
en;en_expecting_a_baby;Is this normal??;mollymc;2013-03-11;2013-03-16;5;5;3;4;462;http://forum.sofeminine.co.uk/forum/maternite1/__f14903_maternite1-Is-this-normal.html
en;en_expecting_a_baby;Does it all go back to normal;laurah21;2013-02-25;2013-02-26;1;1;4;12;244;http://forum.sofeminine.co.uk/forum/maternite1/__f14888_maternite1-Does-it-all-go-back-to-normal.html
en;en_expecting_a_baby;Pregnant at 41 any older mums out there?;kg1965;2007-09-04;2007-09-04;0;0;14;17;400;http://forum.sofeminine.co.uk/forum/maternite1/__f2126_maternite1-Pregnant-at-41-any-older-mums-out-there.html
en;en_expecting_a_baby;How bad is labour pain - honestly?!;lauramary;2008-05-13;2008-05-13;0;0;9;9;1125;http://forum.sofeminine.co.uk/forum/maternite1/__f5764_maternite1-How-bad-is-labour-pain-honestly.html
en;en_expecting_a_baby;He is here;laurah21;2013-01-30;2013-01-30;0;0;11;13;210;http://forum.sofeminine.co.uk/forum/maternite1/__f14864_maternite1-He-is-here-d-roule.html
en;en_expecting_a_baby;Having contractions;laurah21;2013-01-26;2013-01-27;1;1;5;5;94;http://forum.sofeminine.co.uk/forum/maternite1/__f14858_maternite1-Having-contractions-d.html
en;en_expecting_a_baby;Baby is here;kittykirsty1989;2013-01-24;2013-01-25;1;1;5;5;88;http://forum.sofeminine.co.uk/forum/maternite1/__f14856_maternite1-Baby-is-here.html
en;en_expecting_a_baby;Induced labour;kittykirsty1989;2013-01-14;2013-01-14;0;0;2;3;280;http://forum.sofeminine.co.uk/forum/maternite1/__f14831_maternite1-Induced-labour.html
en;en_expecting_a_baby;Emotional;laurah21;2013-01-06;2013-01-06;0;0;3;3;357;http://forum.sofeminine.co.uk/forum/maternite1/__f14810_maternite1-Emotional.html
en;en_expecting_a_baby;Baby;amydambo;2012-11-10;2012-11-10;0;0;4;6;195;http://forum.sofeminine.co.uk/forum/maternite1/__f14715_maternite1-Baby.html
en;en_expecting_a_baby;Y do we google!!;gem161;2013-01-04;2013-01-04;0;0;3;5;381;http://forum.sofeminine.co.uk/forum/maternite1/__f14803_maternite1-Y-do-we-google.html
en;en_expecting_a_baby;Breast or bottle?;gem161;2013-01-03;2013-01-03;0;0;6;8;470;http://forum.sofeminine.co.uk/forum/maternite1/__f14802_maternite1-Breast-or-bottle-bebe.html
en;en_expecting_a_baby;A sweep????;gem161;2013-01-01;2013-01-01;0;0;4;8;232;http://forum.sofeminine.co.uk/forum/maternite1/__f14788_maternite1-A-sweep.html
en;en_expecting_a_baby;I'm back with a bffp;cammiesmummy;2012-12-23;2012-12-23;0;0;4;10;259;http://forum.sofeminine.co.uk/forum/maternite1/__f14769_maternite1-I-m-back-with-a-bffp.html
en;en_expecting_a_baby;My twins have arrived;bekibuttons;2012-10-19;2012-11-22;34;34;10;11;182;http://forum.sofeminine.co.uk/forum/maternite1/__f14671_maternite1-My-twins-have-arrived-bebe-bebe-d.html
en;en_expecting_a_baby;Update;emjc1;2012-09-21;2012-11-23;63;63;5;7;781;http://forum.sofeminine.co.uk/forum/maternite1/__f14641_maternite1--d.html
en;en_expecting_a_baby;Need to fine an alternative form of painrelief during birth;gem161;2012-11-04;2012-11-05;1;1;4;13;257;http://forum.sofeminine.co.uk/forum/maternite1/__f14702_maternite1-Need-to-fine-an-alternative-form-of-painrelief-during-birth.html
en;en_expecting_a_baby;My c section has been moved forward to friday!;amydambo;2012-11-05;2012-11-09;4;4;10;16;122;http://forum.sofeminine.co.uk/forum/maternite1/__f14704_maternite1-My-c-section-has-been-moved-forward-to-friday.html
en;en_expecting_a_baby;Started the raspberry leaf tea;racheybutton;2012-11-08;2012-11-08;0;0;3;6;465;http://forum.sofeminine.co.uk/forum/maternite1/__f14709_maternite1-Started-the-raspberry-leaf-tea.html
en;en_expecting_a_baby;Blood test/home birth;samantha85111;2012-11-01;2012-11-02;1;1;2;4;956;http://forum.sofeminine.co.uk/forum/maternite1/__f14698_maternite1-Blood-test-home-birth.html
en;en_expecting_a_baby;Private midwives;laurah21;2012-11-01;2012-11-01;0;0;3;6;574;http://forum.sofeminine.co.uk/forum/maternite1/__f14699_maternite1-Private-midwives.html
en;en_expecting_a_baby;Still waiting for first kick from baby;ayeshak;2012-10-26;2012-11-01;6;6;5;15;203;http://forum.sofeminine.co.uk/forum/maternite1/__f14686_maternite1-Still-waiting-for-first-kick-from-baby.html
en;en_expecting_a_baby;Really scared;amydambo;2012-10-24;2012-10-24;0;0;4;7;622;http://forum.sofeminine.co.uk/forum/maternite1/__f14681_maternite1-Really-scared.html
en;en_expecting_a_baby;Finally got hosp appointment!;racheybutton;2012-10-15;2012-10-16;1;1;2;4;519;http://forum.sofeminine.co.uk/forum/maternite1/__f14668_maternite1-Finally-got-hosp-appointment.html
en;en_expecting_a_baby;C section?;laurah21;2012-09-13;2012-09-13;0;0;2;4;562;http://forum.sofeminine.co.uk/forum/maternite1/__f14639_maternite1-C-section.html
en;en_expecting_a_baby;My belly is like a washing machine!;bekibuttons;2012-08-27;2012-08-28;1;1;4;6;636;http://forum.sofeminine.co.uk/forum/maternite1/__f14615_maternite1-My-belly-is-like-a-washing-machine.html
en;en_expecting_a_baby;Possible miscarriage question from a guy, please help!!!;cdubminor;2012-08-20;2012-08-20;0;0;2;2;1516;http://forum.sofeminine.co.uk/forum/maternite1/__f14601_maternite1-Possible-miscarriage-question-from-a-guy-please-help.html
en;en_expecting_a_baby;Movements;laurah21;2012-08-14;2012-08-15;1;1;4;18;385;http://forum.sofeminine.co.uk/forum/maternite1/__f14597_maternite1-Movements.html
en;en_expecting_a_baby;Birth question-help if u can x;racheybutton;2012-07-26;2012-07-27;1;1;3;5;658;http://forum.sofeminine.co.uk/forum/maternite1/__f14567_maternite1-Birth-question-help-if-u-can-x.html
en;en_expecting_a_baby;Had a bleed;laurah21;2012-07-12;2012-07-12;0;0;4;10;288;http://forum.sofeminine.co.uk/forum/maternite1/__f14543_maternite1-Had-a-bleed.html
en;en_expecting_a_baby;Previa vasa;flipflopfriday;2012-07-13;2012-07-13;0;0;3;7;213;http://forum.sofeminine.co.uk/forum/maternite1/__f14544_maternite1-Previa-vasa.html
en;en_expecting_a_baby;Growing pains;suzi600;2012-07-02;2012-07-02;0;0;4;6;597;http://forum.sofeminine.co.uk/forum/maternite1/__f14518_maternite1-Growing-pains.html
fr;fr_accouchement;Gynéco qui accepte la césarienne dans le 77;ninittebibiche;2013-06-13;2013-06-16;3;3;5;5;405;http://forum.aufeminin.com/forum/grosaccouchement/__f12519_grosaccouchement-Gyneco-qui-accepte-la-cesarienne-dans-le-77.html
fr;fr_accouchement;Expliquez-moi;zisf;2013-06-06;2013-06-11;5;5;2;3;1077;http://forum.aufeminin.com/forum/grosaccouchement/__f12512_grosaccouchement-Expliquez-moi-fou.html
fr;fr_accouchement;Perine complet complique;jordane13300;2013-06-09;2013-06-09;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12514_grosaccouchement-Perine-complet-complique.html
fr;fr_accouchement;Clinique belledonne à grenoble ?;profdi01;2005-07-22;2005-07-28;6;6;4;4;422;http://forum.aufeminin.com/forum/grosaccouchement/__f1575_grosaccouchement-Clinique-belledonne-a-grenoble.html
fr;fr_accouchement;Clinique sarrus teinturiers toulouse;cece27;2004-09-17;2007-11-26;1165;1165;23;30;460;http://forum.aufeminin.com/forum/grosaccouchement/__f125_grosaccouchement-Clinique-sarrus-teinturiers-toulouse.html
fr;fr_accouchement;Déclenchement, besoin témoignages merci;essonnienne;2013-05-25;2013-06-02;8;8;3;4;964;http://forum.aufeminin.com/forum/grosaccouchement/__f12507_grosaccouchement-Declenchement-besoin-temoignages-merci.html
fr;fr_accouchement;Vos grossesses, vos accouchements et ceux de votre maman: sondage;lili44171;2013-04-12;2013-04-15;3;3;6;6;603;http://forum.aufeminin.com/forum/grosaccouchement/__f12468_grosaccouchement-Vos-grossesses-vos-accouchements-et-ceux-de-votre-maman-sondage.html
fr;fr_accouchement;Peur d'accoucher ???;bebeisa95;2013-05-01;2013-05-16;15;15;1;1;266;http://forum.aufeminin.com/forum/grosaccouchement/__f12483_grosaccouchement-Peur-d-accoucher.html
fr;fr_accouchement;Césarienne programmé;doudoulala16;2013-03-05;2013-03-05;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12443_grosaccouchement-Cesarienne-programme.html
fr;fr_accouchement;Cesarienne;solapuce1;2012-09-15;2012-09-15;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12282_grosaccouchement-Cesarienne.html
fr;fr_accouchement;Qui connait isabelle deputier sur bordeaux;fleurdevanille8;2007-05-19;2008-07-21;429;429;11;11;1212;http://forum.aufeminin.com/forum/grosaccouchement/__f5107_grosaccouchement-Qui-connait-isabelle-deputier-sur-bordeaux.html
fr;fr_accouchement;J'ai accouchez et faillie perdre la vie deux fois...;sabrinana413;2013-04-04;2013-04-05;1;1;9;15;917;http://forum.aufeminin.com/forum/grosaccouchement/__f12463_grosaccouchement-J-ai-accouchez-et-faillie-perdre-la-vie-deux-fois.html
fr;fr_accouchement;Mon projet de naissance;duchessefaust;2013-05-18;2013-06-28;41;41;4;5;2838;http://forum.aufeminin.com/forum/grosaccouchement/__f12501_grosaccouchement-Mon-projet-de-naissance.html
fr;fr_accouchement;Besoin d'avis pour la garde de mon ainée;noune03;2013-05-10;2013-05-12;2;2;1;2;664;http://forum.aufeminin.com/forum/grosaccouchement/__f12493_grosaccouchement-Besoin-d-avis-pour-la-garde-de-mon-ainee.html
fr;fr_accouchement;Photographe lors de l'accouchement. besoin de vos avis!;passionofcolors;2013-05-04;2013-05-04;0;0;4;4;1617;http://forum.aufeminin.com/forum/grosaccouchement/__f12487_grosaccouchement-Photographe-lors-de-l-accouchement-besoin-de-vos-avis.html
fr;fr_accouchement;Ma cesarienne;lola39109;2013-05-06;2013-05-09;3;3;2;9;1546;http://forum.aufeminin.com/forum/grosaccouchement/__f12490_grosaccouchement-Ma-cesarienne.html
fr;fr_accouchement;Accouchement et derive des peridurales abusives ...;lavachemilka53;2013-04-18;2013-04-19;1;1;5;7;1437;http://forum.aufeminin.com/forum/grosaccouchement/__f12475_grosaccouchement-Accouchement-et-derive-des-peridurales-abusives.html
fr;fr_accouchement;Besoin de vos avis!! gynéco acceptant les accouchements naturels;sofiaestival;2013-04-23;2013-04-26;3;3;2;4;2714;http://forum.aufeminin.com/forum/grosaccouchement/__f12480_grosaccouchement-Besoin-de-vos-avis-gyneco-acceptant-les-accouchements-naturels.html
fr;fr_accouchement;Douleur grossesse , contraction ou pas?;maevad12;2013-04-23;2013-04-23;0;0;1;2;1772;http://forum.aufeminin.com/forum/grosaccouchement/__f12479_grosaccouchement-Douleur-grossesse-contraction-ou-pas.html
fr;fr_accouchement;Qui a fait une hémorragie de la délivrance???;anne1216;2005-06-22;2005-06-22;0;0;42;70;812;http://forum.aufeminin.com/forum/grosaccouchement/__f1458_grosaccouchement-Qui-a-fait-une-hemorragie-de-la-delivrance.html
fr;fr_accouchement;Accouchement sous péridurale !! votre avis?? et votre choix??;masoum;2013-02-12;2013-02-15;3;3;6;18;1331;http://forum.aufeminin.com/forum/grosaccouchement/__f12425_grosaccouchement-Accouchement-sous-peridurale-votre-avis-et-votre-choix.html
fr;fr_accouchement;J - 48 jours avant mon accouchement, j'ai tellement peur !!!! etes vs dans la même situation que moi;unangedetrop;2013-02-22;2013-02-23;1;1;2;2;653;http://forum.aufeminin.com/forum/grosaccouchement/__f12434_grosaccouchement-J-48-jours-avant-mon-accouchement-j-ai-tellement-peur-etes-vs-dans-la-meme-situation-que-moi.html
fr;fr_accouchement;Clinique de l'estrée stains;mimi9331;2005-05-30;2007-06-27;758;758;28;29;483;http://forum.aufeminin.com/forum/grosaccouchement/__f1336_grosaccouchement-Clinique-de-l-estree-stains.html
fr;fr_accouchement;Qui a accouché à la maternité d'apt dans le vaucluse 84 ?;lucie1933;2008-02-02;2008-04-01;59;59;6;8;346;http://forum.aufeminin.com/forum/grosaccouchement/__f8204_grosaccouchement-Qui-a-accouche-a-la-maternite-d-apt-dans-le-vaucluse-84.html
fr;fr_accouchement;Préparation à l'accouchement pour bb2;mamandemarine;2013-01-07;2013-01-07;0;0;3;6;404;http://forum.aufeminin.com/forum/grosaccouchement/__f12381_grosaccouchement-Preparation-a-l-accouchement-pour-bb2.html
fr;fr_accouchement;Peur de l'accouchement;texane19;2005-07-05;2005-07-05;0;0;20;22;339;http://forum.aufeminin.com/forum/grosaccouchement/__f1513_grosaccouchement-Peur-de-l-accouchement.html
fr;fr_accouchement;Gemellaire, date du déclenchement? help;bubblebobble2;2013-02-01;2013-02-01;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12414_grosaccouchement-Gemellaire-date-du-declenchement-help.html
fr;fr_accouchement;Declenchement de grossesse;futurmaman76600;2013-01-16;2013-01-17;1;1;4;10;497;http://forum.aufeminin.com/forum/grosaccouchement/__f12395_grosaccouchement-Declenchement-de-grossesse.html
fr;fr_accouchement;témoignage bb1 césa bb2 vb;padrouga80;2013-01-16;2013-01-18;2;2;5;6;796;http://forum.aufeminin.com/forum/grosaccouchement/__f12396_grosaccouchement--run-temoignage-bb1-cesa-bb2-vb-bebe.html
fr;fr_accouchement;Recit de mon accouchement;doudoufee1;2012-09-24;2012-09-24;0;0;5;7;1035;http://forum.aufeminin.com/forum/grosaccouchement/__f12295_grosaccouchement-Recit-de-mon-accouchement-love.html
fr;fr_accouchement;Accouchement dans le var...;jjm83;2013-01-09;2013-01-10;1;1;3;5;331;http://forum.aufeminin.com/forum/grosaccouchement/__f12383_grosaccouchement-Accouchement-dans-le-var.html
fr;fr_accouchement;Phlébite/thrombose jugulaire ..... questions + recherche témoignages ???;tiga78;2007-08-27;2008-03-11;197;197;6;6;618;http://forum.aufeminin.com/forum/grosaccouchement/__f6350_grosaccouchement-Phlebite-thrombose-jugulaire-questions-recherche-temoignages.html
fr;fr_accouchement;Accouchement à domicile, pas 1 débat;titelootte;2006-10-01;2006-10-06;5;5;11;14;453;http://forum.aufeminin.com/forum/grosaccouchement/__f3236_grosaccouchement-Accouchement-a-domicile-pas-1-debat.html
fr;fr_accouchement;Encore cesarienne :s;bima2011;2013-01-04;2013-01-07;3;3;2;3;969;http://forum.aufeminin.com/forum/grosaccouchement/__f12380_grosaccouchement-Encore-cesarienne-s.html
fr;fr_accouchement;Césarienne ou accouchement normal;berangere1609;2012-12-09;2012-12-09;0;0;5;7;986;http://forum.aufeminin.com/forum/grosaccouchement/__f12367_grosaccouchement-Cesarienne-ou-accouchement-normal.html
fr;fr_accouchement;Declenchement;nanoudu281;2013-01-04;2013-01-06;2;2;3;6;686;http://forum.aufeminin.com/forum/grosaccouchement/__f12379_grosaccouchement-Declenchement.html
fr;fr_accouchement;Qu'avez vous fait pour perdre les eaux!!!;tifouine7;2007-07-25;2007-07-25;0;0;8;8;541;http://forum.aufeminin.com/forum/grosaccouchement/__f5917_grosaccouchement-Qu-avez-vous-fait-pour-perdre-les-eaux.html
fr;fr_accouchement;Accouchement;violena1;2012-12-09;2012-12-16;7;7;5;8;489;http://forum.aufeminin.com/forum/grosaccouchement/__f12366_grosaccouchement-Accouchement.html
fr;fr_accouchement;Avis mesure pelviscan;karinelm;2012-12-20;2012-12-20;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12372_grosaccouchement-Avis-mesure-pelviscan.html
fr;fr_accouchement;Pour celles qui vont avoir une cesarienne : no panic!!!;halays84;2012-11-28;2012-11-28;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12358_grosaccouchement-Pour-celles-qui-vont-avoir-une-cesarienne-no-panic.html
fr;fr_accouchement;Mon accouchement traumatisant he oui tout n est pas rose;misskara41;2012-10-10;2012-10-21;11;11;3;3;1322;http://forum.aufeminin.com/forum/grosaccouchement/__f12309_grosaccouchement-Mon-accouchement-traumatisant-he-oui-tout-n-est-pas-rose.html
fr;fr_accouchement;Assouplissement du périné;sakida;2012-11-20;2012-11-20;0;0;0;0;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12350_grosaccouchement-Assouplissement-du-perine.html
fr;fr_accouchement;Accouchement après césarienne d'urgence à 29 sa+4;stabilo58;2012-11-09;2012-11-12;3;3;2;4;324;http://forum.aufeminin.com/forum/grosaccouchement/__f12338_grosaccouchement-Accouchement-apres-cesarienne-d-urgence-a-29-sa-4.html
