QUERY	TAG	TLD
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | risks & benefits	com
hormonal cotraceptive	Contr. | youth	com
hormonal cotraceptive	Contr. | youth	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
hormonal cotraceptive	Med. | sales	com
hormonal cotraceptive	Med. | sales	com
hormonal cotraceptive	Natural Faminily Planning	com
hormonal cotraceptive	Natural Faminily Planning	com
hormonal cotraceptive	Natural Faminily Planning	com
family planning	Contr. | advocacy	com
family planning	Contr. | advocacy	com
family planning	Contr. | development	com
family planning	Contr. | finances	com
family planning	Contr. | law	com
family planning	Contr. | law	com
family planning	Contr. | law	com
family planning	Med. | services	com
family planning	Med. | services	com
family planning	Med. | services	com
contraception	Contr. | advocacy	com
contraception	Contr. | advocacy	com
contraception	Contr. | advocacy	com
contraception	Contr. | advocacy	com
contraception	Contr. | advocacy	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | law	com
contraception	Contr. | risks & benefits	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Contr. | religion	com
contraception	Med. | sexual health	com
contraception	Med. | methods	com
contraception	Med. | methods	com
contraception	Med. | methods	com
contraception	Med. | sales	com
contraception	Med. | sales	com
contraception	Med. | services	com
condoms contraception	Contr. | religion	com
condoms contraception	Contr. | youth	com
condoms contraception	Med. | sexual health	com
condoms contraception	Med. | sexual health	com
condoms contraception	Med. | sexual health	com
condoms contraception	Med. | methods	com
condoms contraception	Med. | methods	com
condoms contraception	Med. | methods	com
condoms contraception	Med. | services	com
condoms 'family planning'	Contr. | development	com
condoms 'family planning'	Contr. | law	com
condoms 'family planning'	Contr. | religion	com
condoms 'family planning'	Contr. | religion	com
condoms 'family planning'	Med. | sexual health	com
condoms 'family planning'	Med. | methods	com
'Rhythm methods'	Contr. | youth	com
'Rhythm methods'	Med. | methods	com
'Rhythm methods'	Med. | methods	com
'Rhythm methods'	Natural Faminily Planning	com
'Rhythm methods'	Natural Faminily Planning	com
'Rhythm methods'	Natural Faminily Planning	com
'Rhythm methods'	Natural Faminily Planning	com
'Rhythm methods'	Natural Faminily Planning	com
'Preventing pregnancy'	Contr. | youth	com
'Preventing pregnancy'	Med. | sexual health	com
'Preventing pregnancy'	Med. | sexual health	com
'Preventing pregnancy'	Med. | sexual health	com
'Preventing pregnancy'	Med. | methods	com
'Preventing pregnancy'	Med. | methods	com
'Preventing pregnancy'	Med. | methods	com
'Preventing pregnancy'	Med. | methods	com
'Preventing pregnancy'	Med. | methods	com
'Pregnancy prevention'	Contr. | finances	com
'Pregnancy prevention'	Contr. | youth	com
'Pregnancy prevention'	Contr. | youth	com
'Pregnancy prevention'	Contr. | youth	com
'Pregnancy prevention'	Contr. | youth	com
'Pregnancy prevention'	Contr. | youth	com
'Pregnancy prevention'	Contr. | youth	com
'Planned parenthood'	Contr. | lifestyle	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'Planned parenthood'	Contr. | law	com
'pill'+'family planning'	Contr. | finances	com
'pill'+'family planning'	Contr. | finances	com
'pill'+'family planning'	Contr. | risks & benefits	com
'pill'+'family planning'	Contr. | risks & benefits	com
'pill'+'family planning'	Med. | sexual health	com
'pill'+'family planning'	Med. | sexual health	com
'pill'+'family planning'	Med. | services	com
'pill'+'family planning'	Med. | services	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | family size	com
'Not having babies'	Contr. | religion	com
'Not having babies'	Contr. | religion	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Not having babies'	Contr. | youth	com
'Fertility regulation'	Natural Faminily Planning	com
'Fertility control'	Contr. | law	com
'Fertility control'	Contr. | programme	com
'Fertility control'	Natural Faminily Planning	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Family size'	Contr. | family size	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth control'	Contr. | development	com
'Birth control'	Contr. | law	com
'Birth control'	Contr. | law	com
'Birth control'	Contr. | risks & benefits	com
'Birth control'	Contr. | religion	com
'Birth control'	Med. | sexual health	com
'Birth control'	Med. | sexual health	com
'Birth control'	Med. | methods	com
'Birth control'	Med. | methods	com
'Birth control'	Med. | methods	com
'Birth control'	Med. | methods	com
'Birth control'	Med. | methods	com
'Birth control'	Med. | sales	com
'Birth control methods'	Contr. | youth	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
'Birth control methods'	Med. | methods	com
pill contraception	Med. | methods	com
IUD 'family planning'	Med. | sexual health	com
IUD 'family planning'	Med. | methods	com
hormonal cotraceptive	Med. | methods	com
family planning	Med. | services	com
family planning	Med. | services	com
contraception	Med. | methods	com
contraception	Med. | methods	com
condoms 'family planning'	Med. | methods	com
'pill'+'family planning'	Med. | methods	com
'pill'+'family planning'	Med. | methods	com
'Not having babies'	Contr. | risks & benefits	com
'Birth control'	Med. | services	com
'Birth spacing'	Contr. | risks & benefits	com
'Birth spacing'	Contr. | risks & benefits	com
pill contraception	Med. | methods	edu
IUD 'family planning'	Med. | methods	edu
IUD 'family planning'	Med. | methods	edu
hormonal cotraceptive	Contr. | programme	edu
hormonal cotraceptive	Contr. | risks & benefits	edu
hormonal cotraceptive	Contr. | risks & benefits	edu
hormonal cotraceptive	Med. | methods	edu
hormonal cotraceptive	Med. | methods	edu
contraception	Contr. | advocacy	edu
contraception	Med. | methods	edu
contraception	Med. | methods	edu
condoms contraception	Contr. | youth	edu
condoms contraception	Contr. | youth	edu
condoms contraception	Contr. | youth	edu
condoms contraception	Med. | sexual health	edu
condoms contraception	Med. | methods	edu
condoms 'family planning'	Med. | methods	edu
'Preventing pregnancy'	Contr. | law	edu
'Preventing pregnancy'	Contr. | youth	edu
'Pregnancy prevention'	Contr. | lifestyle	edu
'Pregnancy prevention'	Contr. | youth	edu
'Pregnancy prevention'	Med. | sexual health	edu
'pill'+'family planning'	Med. | methods	edu
'Fertility control'	Contr. | development	edu
'Birth control methods'	Med. | methods	edu
hormonal cotraceptive	Contr. | risks & benefits	eu
contraception	Contr. | advocacy	eu
contraception	Med. | methods	others
condoms 'family planning'	Med. | methods	others
pill contraception	Contr. | risks & benefits	gov
IUD 'family planning'	Med. | methods	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
family planning	Contr. | advocacy	gov
family planning	Contr. | finances	gov
family planning	Contr. | law	gov
family planning	Contr. | programme	gov
family planning	Contr. | programme	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
family planning	Med. | services	gov
contraception	Contr. | law	gov
contraception	Contr. | law	gov
contraception	Contr. | programme	gov
contraception	Med. | sexual health	gov
contraception	Med. | methods	gov
condoms contraception	Contr. | youth	gov
condoms 'family planning'	Med. | methods	gov
condoms 'family planning'	Med. | methods	gov
'Preventing pregnancy'	Contr. | youth	gov
'Preventing pregnancy'	Contr. | youth	gov
'Preventing pregnancy'	Med. | methods	gov
'Pregnancy prevention'	Contr. | lifestyle	gov
'Pregnancy prevention'	Contr. | lifestyle	gov
'Pregnancy prevention'	Contr. | lifestyle	gov
'Pregnancy prevention'	Contr. | lifestyle	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Contr. | youth	gov
'Pregnancy prevention'	Med. | sexual health	gov
'pill'+'family planning'	Med. | methods	gov
'pill'+'family planning'	Med. | methods	gov
'Birth spacing'	Contr. | risks & benefits	gov
'Birth spacing'	Contr. | risks & benefits	gov
'Birth control'	Contr. | youth	gov
'Birth control'	Med. | sexual health	gov
'Birth control'	Med. | methods	gov
'Birth control methods'	Med. | sexual health	gov
'Birth control methods'	Med. | methods	gov
'Birth control methods'	Med. | methods	gov
'Birth control methods'	Med. | methods	gov
'Birth control methods'	Med. | services	gov
pill contraception	Med. | methods	gov
pill contraception	Med. | methods	gov
pill contraception	Med. | methods	gov
contraception	Contr. | lifestyle	gov
contraception	Contr. | youth	gov
contraception	Contr. | youth	gov
contraception	Med. | methods	gov
condoms contraception	Med. | sexual health	gov
condoms contraception	Med. | methods	gov
condoms contraception	Med. | methods	gov
condoms contraception	Med. | methods	gov
'Birth spacing'	Contr. | risks & benefits	gov
hormonal cotraceptive	Contr. | risks & benefits	gov
'Preventing pregnancy'	Contr. | youth	gov
'Fertility regulation'	Contr. | law	gov
IUD 'family planning'	Med. | methods	gov
hormonal cotraceptive	Med. | methods	gov
contraception	Contr. | law	gov
family planning	Med. | services	us
pill contraception	Contr. | risks & benefits	ie
pill contraception	Med. | methods	ie
pill contraception	Med. | methods	ie
pill contraception	Med. | methods	ie
family planning	Med. | services	ie
contraception	Med. | methods	ie
contraception	Med. | methods	ie
contraception	Med. | services	ie
contraception	Med. | services	ie
condoms contraception	Med. | methods	ie
condoms contraception	Med. | methods	ie
condoms contraception	Med. | methods	ie
condoms contraception	Med. | methods	ie
'pill'+'family planning'	Med. | methods	ie
'pill'+'family planning'	Med. | methods	ie
'Family size'	Contr. | family size	ie
'Fertility regulation'	Contr. | programme	in
'Birth spacing'	Contr. | risks & benefits	in
'Family size'	Contr. | family size	in
'Rhythm methods'	Natural Faminily Planning	others
hormonal cotraceptive	Contr. | risks & benefits	int
hormonal cotraceptive	Contr. | risks & benefits	int
family planning	Contr. | programme	int
'Fertility regulation'	Med. | methods	int
'Birth spacing'	Contr. | risks & benefits	int
IUD 'family planning'	Med. | methods	net
hormonal cotraceptive	Contr. | risks & benefits	net
hormonal cotraceptive	Contr. | risks & benefits	net
hormonal cotraceptive	Contr. | risks & benefits	net
family planning	Contr. | programme	net
family planning	Med. | services	net
family planning	Med. | services	net
family planning	Med. | services	net
family planning	Natural Faminily Planning	net
condoms contraception	Contr. | religion	net
condoms contraception	Med. | methods	net
'Rhythm methods'	Contr. | religion	net
'pill'+'family planning'	Med. | methods	net
'Fertility regulation'	Contr. | programme	net
hormonal cotraceptive	Med. | methods	others
pill contraception	Med. | methods	org
pill contraception	Med. | methods	org
IUD 'family planning'	Contr. | programme	org
IUD 'family planning'	Contr. | youth	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
hormonal cotraceptive	Contr. | law	org
hormonal cotraceptive	Contr. | programme	org
hormonal cotraceptive	Contr. | programme	org
hormonal cotraceptive	Contr. | programme	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Contr. | religion	org
hormonal cotraceptive	Contr. | religion	org
hormonal cotraceptive	Med. | sexual health	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
hormonal cotraceptive	Med. | methods	org
planned parenthood	Contr. | advocacy	org
family planning	Med. | methods	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | advocacy	org
family planning	Contr. | development	org
family planning	Contr. | development	org
family planning	Contr. | development	org
family planning	Contr. | programme	org
family planning	Contr. | programme	org
family planning	Contr. | programme	org
family planning	Contr. | programme	org
family planning	Contr. | religion	org
family planning	Med. | sexual health	org
family planning	Med. | sexual health	org
family planning	Med. | methods	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Natural Faminily Planning	org
contraception	Contr. | advocacy	org
contraception	Contr. | advocacy	org
contraception	Contr. | advocacy	org
contraception	Contr. | advocacy	org
contraception	Contr. | development	org
contraception	Contr. | law	org
contraception	Contr. | law	org
contraception	Contr. | law	org
contraception	Contr. | religion	org
contraception	Contr. | religion	org
contraception	Contr. | religion	org
contraception	Contr. | youth	org
contraception	Contr. | youth	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
condoms contraception	Contr. | advocacy	org
condoms contraception	Contr. | law	org
condoms contraception	Contr. | youth	org
condoms contraception	Contr. | youth	org
condoms contraception	Med. | methods	org
condoms contraception	Med. | methods	org
condoms contraception	Med. | methods	org
condoms 'family planning'	Contr. | human rights	org
condoms 'family planning'	Contr. | programme	org
condoms 'family planning'	Contr. | youth	org
condoms 'family planning'	Med. | sexual health	org
condoms 'family planning'	Med. | sexual health	org
condoms 'family planning'	Med. | sales	org
condoms 'family planning'	Med. | services	org
'Rhythm methods'	Med. | methods	org
'Rhythm methods'	Natural Faminily Planning	org
'Rhythm methods'	Natural Faminily Planning	org
'Preventing pregnancy'	Contr. | law	org
'Preventing pregnancy'	Contr. | programme	org
'Preventing pregnancy'	Contr. | risks & benefits	org
'Preventing pregnancy'	Contr. | youth	org
'Preventing pregnancy'	Med. | sexual health	org
'Preventing pregnancy'	Med. | methods	org
'Preventing pregnancy'	Med. | methods	org
'Preventing pregnancy'	Natural Faminily Planning	org
'Preventing pregnancy'	Natural Faminily Planning	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | lifestyle	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Contr. | youth	org
'Pregnancy prevention'	Med. | sexual health	org
'Pregnancy prevention'	Med. | services	org
'Planned parenthood'	Contr. | advocacy	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | law	org
'Planned parenthood'	Contr. | youth	org
'Planned parenthood'	Contr. | youth	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'Planned parenthood'	Med. | services	org
'pill'+'family planning'	Contr. | lifestyle	org
'pill'+'family planning'	Contr. | youth	org
'pill'+'family planning'	Med. | sexual health	org
'pill'+'family planning'	Med. | methods	org
'Not having babies'	Contr. | family size	org
'Not having babies'	Contr. | religion	org
'Fertility regulation'	Contr. | advocacy	org
'Fertility regulation'	Natural Faminily Planning	org
'Fertility control'	Contr. | population growth	org
'Family size'	Contr. | family size	org
'Family size'	Contr. | family size	org
'Family size'	Contr. | programme	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth spacing'	Contr. | risks & benefits	org
'Birth control'	Contr. | law	org
'Birth control'	Contr. | law	org
'Birth control'	Contr. | religion	org
'Birth control'	Med. | methods	org
'Birth control'	Med. | methods	org
'Birth control'	Med. | methods	org
'Birth control methods'	Contr. | youth	org
'Birth control methods'	Med. | sexual health	org
'Birth control methods'	Med. | sexual health	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | methods	org
'Birth control methods'	Med. | services	org
'Birth control methods'	Med. | services	org
'Birth control methods'	Med. | services	org
pill contraception	Med. | methods	org
pill contraception	Med. | methods	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | services	org
condoms contraception	Med. | methods	org
condoms 'family planning'	Med. | sexual health	org
condoms 'family planning'	Med. | methods	org
condoms 'family planning'	Med. | methods	org
condoms 'family planning'	Med. | methods	org
condoms 'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'Fertility control'	Contr. | law	org
family planning	Contr. | programme	org
IUD 'family planning'	Med. | methods	org
family planning	Med. | services	org
family planning	Contr. | advocacy	org
'Birth spacing'	Contr. | risks & benefits	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
family planning	Contr. | human rights	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
family planning	Med. | services	org
contraception	Med. | methods	org
condoms 'family planning'	Med. | sexual health	org
condoms 'family planning'	Med. | sales	org
condoms 'family planning'	Med. | services	org
condoms 'family planning'	Med. | services	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'Fertility regulation'	Natural Faminily Planning	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
IUD 'family planning'	Med. | methods	org
hormonal cotraceptive	Contr. | risks & benefits	org
hormonal cotraceptive	Med. | methods	org
family planning	Med. | services	org
contraception	Contr. | lifestyle	org
contraception	Contr. | youth	org
contraception	Med. | sexual health	org
contraception	Med. | sexual health	org
contraception	Med. | sexual health	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
contraception	Med. | methods	org
condoms 'family planning'	Contr. | programme	org
condoms 'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | methods	org
'pill'+'family planning'	Med. | services	org
'pill'+'family planning'	Med. | services	org
'pill'+'family planning'	Contr. | risks & benefits	others
family planning	Contr. | advocacy	ug
'pill'+'family planning'	Med. | methods	ug
pill contraception	Med. | methods	uk
pill contraception	Med. | methods	uk
hormonal cotraceptive	Med. | methods	uk
hormonal cotraceptive	Med. | methods	uk
hormonal cotraceptive	Med. | methods	uk
contraception	Med. | methods	uk
contraception	Med. | methods	uk
contraception	Med. | methods	uk
contraception	Med. | methods	uk
contraception	Med. | methods	uk
condoms contraception	Med. | methods	uk
condoms contraception	Med. | methods	uk
condoms contraception	Med. | methods	uk
condoms 'family planning'	Contr. | youth	uk
'Preventing pregnancy'	Med. | methods	uk
'Preventing pregnancy'	Med. | methods	uk
'pill'+'family planning'	Med. | methods	uk
'Birth control'	Med. | methods	uk
family planning	Med. | services	us
family planning	Med. | services	us
'Pregnancy prevention'	Contr. | youth	us
family planning	Med. | sexual health	us
family planning	Med. | services	us
