lang;forum;title;original_author;start_date;end_date;range;time;nb_authors;nb_replies;avg_post_length;url
en;cosmetic breasts;Starting to panic about how painful it will be!!!;beckylou8320;18/06/12;18/06/12;0;1;2;4;325;http://forum.sofeminine.co.uk/forum/f52/__f52301_f52-Starting-to-panic-about-how-painful-it-will-be.html
en;expecting a baby;Hmmmm-adament no more but...;racheybutton;04/06/13;05/06/13;1;2;3;7;346;http://forum.sofeminine.co.uk/forum/maternite1/__f14939_maternite1-Hmmmm-adament-no-more-but.html
en;expecting a baby;Pregnant with 2nd & really scared - please help!;jenn904;18/03/13;18/03/13;0;1;1;2;1465;http://forum.sofeminine.co.uk/forum/maternite1/__f14905_maternite1-Pregnant-with-2nd-really-scared-please-help.html
en;expecting a baby;Is this normal??;mollymc;11/03/13;16/03/13;5;6;3;5;462;http://forum.sofeminine.co.uk/forum/maternite1/__f14903_maternite1-Is-this-normal.html
en;expecting a baby;Does it all go back to normal;laurah21;25/02/13;26/02/13;1;2;4;13;244;http://forum.sofeminine.co.uk/forum/maternite1/__f14888_maternite1-Does-it-all-go-back-to-normal.html
en;expecting a baby;Pregnant at 41 any older mums out there?;kg1965;04/09/07;04/09/07;0;1;14;18;400;http://forum.sofeminine.co.uk/forum/maternite1/__f2126_maternite1-Pregnant-at-41-any-older-mums-out-there.html
en;expecting a baby;How bad is labour pain - honestly?!;lauramary;13/05/08;13/05/08;0;1;9;10;1125;http://forum.sofeminine.co.uk/forum/maternite1/__f5764_maternite1-How-bad-is-labour-pain-honestly.html
en;expecting a baby;He is here;laurah21;30/01/13;30/01/13;0;1;11;14;210;http://forum.sofeminine.co.uk/forum/maternite1/__f14864_maternite1-He-is-here-d-roule.html
en;expecting a baby;Having contractions;laurah21;26/01/13;27/01/13;1;2;5;6;94;http://forum.sofeminine.co.uk/forum/maternite1/__f14858_maternite1-Having-contractions-d.html
en;expecting a baby;Baby is here;kittykirsty1989;24/01/13;25/01/13;1;2;5;6;88;http://forum.sofeminine.co.uk/forum/maternite1/__f14856_maternite1-Baby-is-here.html
en;expecting a baby;Induced labour;kittykirsty1989;14/01/13;14/01/13;0;1;2;4;280;http://forum.sofeminine.co.uk/forum/maternite1/__f14831_maternite1-Induced-labour.html
en;expecting a baby;Emotional;laurah21;06/01/13;06/01/13;0;1;3;4;357;http://forum.sofeminine.co.uk/forum/maternite1/__f14810_maternite1-Emotional.html
en;expecting a baby;Baby;amydambo;10/11/12;10/11/12;0;1;4;7;195;http://forum.sofeminine.co.uk/forum/maternite1/__f14715_maternite1-Baby.html
en;expecting a baby;Y do we google!!;gem161;04/01/13;04/01/13;0;1;3;6;381;http://forum.sofeminine.co.uk/forum/maternite1/__f14803_maternite1-Y-do-we-google.html
en;expecting a baby;Breast or bottle?;gem161;03/01/13;03/01/13;0;1;6;9;470;http://forum.sofeminine.co.uk/forum/maternite1/__f14802_maternite1-Breast-or-bottle-bebe.html
en;expecting a baby;A sweep????;gem161;01/01/13;01/01/13;0;1;4;9;232;http://forum.sofeminine.co.uk/forum/maternite1/__f14788_maternite1-A-sweep.html
en;expecting a baby;I'm back with a bffp;cammiesmummy;23/12/12;23/12/12;0;1;4;11;259;http://forum.sofeminine.co.uk/forum/maternite1/__f14769_maternite1-I-m-back-with-a-bffp.html
en;expecting a baby;My twins have arrived;bekibuttons;19/10/12;22/11/12;34;35;10;12;182;http://forum.sofeminine.co.uk/forum/maternite1/__f14671_maternite1-My-twins-have-arrived-bebe-bebe-d.html
en;expecting a baby;Update;emjc1;21/09/12;23/11/12;63;64;5;8;781;http://forum.sofeminine.co.uk/forum/maternite1/__f14641_maternite1--d.html
en;expecting a baby;Need to fine an alternative form of painrelief during birth;gem161;04/11/12;05/11/12;1;2;4;14;257;http://forum.sofeminine.co.uk/forum/maternite1/__f14702_maternite1-Need-to-fine-an-alternative-form-of-painrelief-during-birth.html
en;expecting a baby;My c section has been moved forward to friday!;amydambo;05/11/12;09/11/12;4;5;10;17;122;http://forum.sofeminine.co.uk/forum/maternite1/__f14704_maternite1-My-c-section-has-been-moved-forward-to-friday.html
en;expecting a baby;Started the raspberry leaf tea;racheybutton;08/11/12;08/11/12;0;1;3;7;465;http://forum.sofeminine.co.uk/forum/maternite1/__f14709_maternite1-Started-the-raspberry-leaf-tea.html
en;expecting a baby;Blood test/home birth;samantha85111;01/11/12;02/11/12;1;2;2;5;956;http://forum.sofeminine.co.uk/forum/maternite1/__f14698_maternite1-Blood-test-home-birth.html
en;expecting a baby;Private midwives;laurah21;01/11/12;01/11/12;0;1;3;7;574;http://forum.sofeminine.co.uk/forum/maternite1/__f14699_maternite1-Private-midwives.html
en;expecting a baby;Still waiting for first kick from baby;ayeshak;26/10/12;01/11/12;6;7;5;16;203;http://forum.sofeminine.co.uk/forum/maternite1/__f14686_maternite1-Still-waiting-for-first-kick-from-baby.html
en;expecting a baby;Really scared;amydambo;24/10/12;24/10/12;0;1;4;8;622;http://forum.sofeminine.co.uk/forum/maternite1/__f14681_maternite1-Really-scared.html
en;expecting a baby;Finally got hosp appointment!;racheybutton;15/10/12;16/10/12;1;2;2;5;519;http://forum.sofeminine.co.uk/forum/maternite1/__f14668_maternite1-Finally-got-hosp-appointment.html
en;expecting a baby;C section?;laurah21;13/09/12;13/09/12;0;1;2;5;562;http://forum.sofeminine.co.uk/forum/maternite1/__f14639_maternite1-C-section.html
en;expecting a baby;My belly is like a washing machine!;bekibuttons;27/08/12;28/08/12;1;2;4;7;636;http://forum.sofeminine.co.uk/forum/maternite1/__f14615_maternite1-My-belly-is-like-a-washing-machine.html
en;expecting a baby;Possible miscarriage question from a guy, please help!!!;cdubminor;20/08/12;20/08/12;0;1;2;3;1516;http://forum.sofeminine.co.uk/forum/maternite1/__f14601_maternite1-Possible-miscarriage-question-from-a-guy-please-help.html
en;expecting a baby;Movements;laurah21;14/08/12;15/08/12;1;2;4;19;385;http://forum.sofeminine.co.uk/forum/maternite1/__f14597_maternite1-Movements.html
en;expecting a baby;Birth question-help if u can x;racheybutton;26/07/12;27/07/12;1;2;3;6;658;http://forum.sofeminine.co.uk/forum/maternite1/__f14567_maternite1-Birth-question-help-if-u-can-x.html
en;expecting a baby;Had a bleed;laurah21;12/07/12;12/07/12;0;1;4;11;288;http://forum.sofeminine.co.uk/forum/maternite1/__f14543_maternite1-Had-a-bleed.html
en;expecting a baby;Previa vasa;flipflopfriday;13/07/12;13/07/12;0;1;3;8;213;http://forum.sofeminine.co.uk/forum/maternite1/__f14544_maternite1-Previa-vasa.html
en;expecting a baby;Growing pains;suzi600;02/07/12;02/07/12;0;1;4;7;597;http://forum.sofeminine.co.uk/forum/maternite1/__f14518_maternite1-Growing-pains.html
fr;accouchement;Gyn_co qui accepte la c_sarienne dans le 77;ninittebibiche;13/06/13;16/06/13;3;4;5;6;405;http://forum.aufeminin.com/forum/grosaccouchement/__f12519_grosaccouchement-Gyneco-qui-accepte-la-cesarienne-dans-le-77.html
fr;accouchement;Expliquez-moi;zisf;06/06/13;11/06/13;5;6;2;4;1077;http://forum.aufeminin.com/forum/grosaccouchement/__f12512_grosaccouchement-Expliquez-moi-fou.html
fr;accouchement;Perine complet complique;jordane13300;09/06/13;09/06/13;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12514_grosaccouchement-Perine-complet-complique.html
fr;accouchement;Clinique belledonne ˆ grenoble ?;profdi01;22/07/05;28/07/05;6;7;4;5;422;http://forum.aufeminin.com/forum/grosaccouchement/__f1575_grosaccouchement-Clinique-belledonne-a-grenoble.html
fr;accouchement;Clinique sarrus teinturiers toulouse;cece27;17/09/04;26/11/07;1165;1166;23;31;460;http://forum.aufeminin.com/forum/grosaccouchement/__f125_grosaccouchement-Clinique-sarrus-teinturiers-toulouse.html
fr;accouchement;D_clenchement, besoin t_moignages merci;essonnienne;25/05/13;02/06/13;8;9;3;5;964;http://forum.aufeminin.com/forum/grosaccouchement/__f12507_grosaccouchement-Declenchement-besoin-temoignages-merci.html
fr;accouchement;Vos grossesses, vos accouchements et ceux de votre maman: sondage;lili44171;12/04/13;15/04/13;3;4;6;7;603;http://forum.aufeminin.com/forum/grosaccouchement/__f12468_grosaccouchement-Vos-grossesses-vos-accouchements-et-ceux-de-votre-maman-sondage.html
fr;accouchement;Peur d'accoucher ???;bebeisa95;01/05/13;16/05/13;15;16;1;2;266;http://forum.aufeminin.com/forum/grosaccouchement/__f12483_grosaccouchement-Peur-d-accoucher.html
fr;accouchement;C_sarienne programm_;doudoulala16;05/03/13;05/03/13;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12443_grosaccouchement-Cesarienne-programme.html
fr;accouchement;Cesarienne;solapuce1;15/09/12;15/09/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12282_grosaccouchement-Cesarienne.html
fr;accouchement;Qui connait isabelle deputier sur bordeaux;fleurdevanille8;19/05/07;21/07/08;429;430;11;12;1212;http://forum.aufeminin.com/forum/grosaccouchement/__f5107_grosaccouchement-Qui-connait-isabelle-deputier-sur-bordeaux.html
fr;accouchement;J'ai accouchez et faillie perdre la vie deux fois...;sabrinana413;04/04/13;05/04/13;1;2;9;16;917;http://forum.aufeminin.com/forum/grosaccouchement/__f12463_grosaccouchement-J-ai-accouchez-et-faillie-perdre-la-vie-deux-fois.html
fr;accouchement;Mon projet de naissance;duchessefaust;18/05/13;28/06/13;41;42;4;6;2838;http://forum.aufeminin.com/forum/grosaccouchement/__f12501_grosaccouchement-Mon-projet-de-naissance.html
fr;accouchement;Besoin d'avis pour la garde de mon ain_e;noune03;10/05/13;12/05/13;2;3;1;3;664;http://forum.aufeminin.com/forum/grosaccouchement/__f12493_grosaccouchement-Besoin-d-avis-pour-la-garde-de-mon-ainee.html
fr;accouchement;Photographe lors de l'accouchement. besoin de vos avis!;passionofcolors;04/05/13;04/05/13;0;1;4;5;1617;http://forum.aufeminin.com/forum/grosaccouchement/__f12487_grosaccouchement-Photographe-lors-de-l-accouchement-besoin-de-vos-avis.html
fr;accouchement;Ma cesarienne;lola39109;06/05/13;09/05/13;3;4;2;10;1546;http://forum.aufeminin.com/forum/grosaccouchement/__f12490_grosaccouchement-Ma-cesarienne.html
fr;accouchement;Accouchement et derive des peridurales abusives ...;lavachemilka53;18/04/13;19/04/13;1;2;5;8;1437;http://forum.aufeminin.com/forum/grosaccouchement/__f12475_grosaccouchement-Accouchement-et-derive-des-peridurales-abusives.html
fr;accouchement;Besoin de vos avis!! gyn_co acceptant les accouchements naturels;sofiaestival;23/04/13;26/04/13;3;4;2;5;2714;http://forum.aufeminin.com/forum/grosaccouchement/__f12480_grosaccouchement-Besoin-de-vos-avis-gyneco-acceptant-les-accouchements-naturels.html
fr;accouchement;Douleur grossesse , contraction ou pas?;maevad12;23/04/13;23/04/13;0;1;1;3;1772;http://forum.aufeminin.com/forum/grosaccouchement/__f12479_grosaccouchement-Douleur-grossesse-contraction-ou-pas.html
fr;accouchement;Qui a fait une h_morragie de la d_livrance???;anne1216;22/06/05;22/06/05;0;1;42;71;812;http://forum.aufeminin.com/forum/grosaccouchement/__f1458_grosaccouchement-Qui-a-fait-une-hemorragie-de-la-delivrance.html
fr;accouchement;Accouchement sous p_ridurale !! votre avis?? et votre choix??;masoum;12/02/13;15/02/13;3;4;6;19;1331;http://forum.aufeminin.com/forum/grosaccouchement/__f12425_grosaccouchement-Accouchement-sous-peridurale-votre-avis-et-votre-choix.html
fr;accouchement;J - 48 jours avant mon accouchement, j'ai tellement peur !!!! etes vs dans la même situation que moi;unangedetrop;22/02/13;23/02/13;1;2;2;3;653;http://forum.aufeminin.com/forum/grosaccouchement/__f12434_grosaccouchement-J-48-jours-avant-mon-accouchement-j-ai-tellement-peur-etes-vs-dans-la-meme-situation-que-moi.html
fr;accouchement;Clinique de l'estr_e stains;mimi9331;30/05/05;27/06/07;758;759;28;30;483;http://forum.aufeminin.com/forum/grosaccouchement/__f1336_grosaccouchement-Clinique-de-l-estree-stains.html
fr;accouchement;Qui a accouch_ ˆ la maternit_ d'apt dans le vaucluse 84 ?;lucie1933;02/02/08;01/04/08;59;60;6;9;346;http://forum.aufeminin.com/forum/grosaccouchement/__f8204_grosaccouchement-Qui-a-accouche-a-la-maternite-d-apt-dans-le-vaucluse-84.html
fr;accouchement;Pr_paration ˆ l'accouchement pour bb2;mamandemarine;07/01/13;07/01/13;0;1;3;7;404;http://forum.aufeminin.com/forum/grosaccouchement/__f12381_grosaccouchement-Preparation-a-l-accouchement-pour-bb2.html
fr;accouchement;Peur de l'accouchement;texane19;05/07/05;05/07/05;0;1;20;23;339;http://forum.aufeminin.com/forum/grosaccouchement/__f1513_grosaccouchement-Peur-de-l-accouchement.html
fr;accouchement;Gemellaire, date du d_clenchement? help;bubblebobble2;01/02/13;01/02/13;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12414_grosaccouchement-Gemellaire-date-du-declenchement-help.html
fr;accouchement;Declenchement de grossesse;futurmaman76600;16/01/13;17/01/13;1;2;4;11;497;http://forum.aufeminin.com/forum/grosaccouchement/__f12395_grosaccouchement-Declenchement-de-grossesse.html
fr;accouchement;t_moignage bb1 c_sa bb2 vb;padrouga80;16/01/13;18/01/13;2;3;5;7;796;http://forum.aufeminin.com/forum/grosaccouchement/__f12396_grosaccouchement--run-temoignage-bb1-cesa-bb2-vb-bebe.html
fr;accouchement;Recit de mon accouchement;doudoufee1;24/09/12;24/09/12;0;1;5;8;1035;http://forum.aufeminin.com/forum/grosaccouchement/__f12295_grosaccouchement-Recit-de-mon-accouchement-love.html
fr;accouchement;Accouchement dans le var...;jjm83;09/01/13;10/01/13;1;2;3;6;331;http://forum.aufeminin.com/forum/grosaccouchement/__f12383_grosaccouchement-Accouchement-dans-le-var.html
fr;accouchement;Phl_bite/thrombose jugulaire ..... questions + recherche t_moignages ???;tiga78;27/08/07;11/03/08;197;198;6;7;618;http://forum.aufeminin.com/forum/grosaccouchement/__f6350_grosaccouchement-Phlebite-thrombose-jugulaire-questions-recherche-temoignages.html
fr;accouchement;Accouchement ˆ domicile, pas 1 d_bat;titelootte;01/10/06;06/10/06;5;6;11;15;453;http://forum.aufeminin.com/forum/grosaccouchement/__f3236_grosaccouchement-Accouchement-a-domicile-pas-1-debat.html
fr;accouchement;Encore cesarienne :s;bima2011;04/01/13;07/01/13;3;4;2;4;969;http://forum.aufeminin.com/forum/grosaccouchement/__f12380_grosaccouchement-Encore-cesarienne-s.html
fr;accouchement;C_sarienne ou accouchement normal;berangere1609;09/12/12;09/12/12;0;1;5;8;986;http://forum.aufeminin.com/forum/grosaccouchement/__f12367_grosaccouchement-Cesarienne-ou-accouchement-normal.html
fr;accouchement;Declenchement;nanoudu281;04/01/13;06/01/13;2;3;3;7;686;http://forum.aufeminin.com/forum/grosaccouchement/__f12379_grosaccouchement-Declenchement.html
fr;accouchement;Qu'avez vous fait pour perdre les eaux!!!;tifouine7;25/07/07;25/07/07;0;1;8;9;541;http://forum.aufeminin.com/forum/grosaccouchement/__f5917_grosaccouchement-Qu-avez-vous-fait-pour-perdre-les-eaux.html
fr;accouchement;Accouchement;violena1;09/12/12;16/12/12;7;8;5;9;489;http://forum.aufeminin.com/forum/grosaccouchement/__f12366_grosaccouchement-Accouchement.html
fr;accouchement;Avis mesure pelviscan;karinelm;20/12/12;20/12/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12372_grosaccouchement-Avis-mesure-pelviscan.html
fr;accouchement;Pour celles qui vont avoir une cesarienne : no panic!!!;halays84;28/11/12;28/11/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12358_grosaccouchement-Pour-celles-qui-vont-avoir-une-cesarienne-no-panic.html
fr;accouchement;Mon accouchement traumatisant he oui tout n est pas rose;misskara41;10/10/12;21/10/12;11;12;3;4;1322;http://forum.aufeminin.com/forum/grosaccouchement/__f12309_grosaccouchement-Mon-accouchement-traumatisant-he-oui-tout-n-est-pas-rose.html
fr;accouchement;Assouplissement du p_rin_;sakida;20/11/12;20/11/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12350_grosaccouchement-Assouplissement-du-perine.html
fr;accouchement;Accouchement après c_sarienne d'urgence ˆ 29 sa+4;stabilo58;09/11/12;12/11/12;3;4;2;5;324;http://forum.aufeminin.com/forum/grosaccouchement/__f12338_grosaccouchement-Accouchement-apres-cesarienne-d-urgence-a-29-sa-4.html
fr;accouchement;Avac r_ussi...;chrislafee77;11/11/12;11/11/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12341_grosaccouchement-Avac-reussi-amour.html
fr;accouchement;J-25 et b_b_ toujours en siège. qui dans le même cas ?;dadidouda25;31/10/12;06/11/12;6;7;1;2;494;http://forum.aufeminin.com/forum/grosaccouchement/__f12333_grosaccouchement-J-25-et-bebe-toujours-en-siege-qui-dans-le-meme-cas.html
fr;accouchement;Accouchement la vraie verit_??????;fifield;11/10/12;11/10/12;0;1;8;16;798;http://forum.aufeminin.com/forum/grosaccouchement/__f12310_grosaccouchement-Accouchement-la-vraie-verite.html
fr;accouchement;C_sarienne sous ag suite d_formation plateau vert_brale?;satine38120;12/10/12;12/10/12;0;1;0;1;0;http://forum.aufeminin.com/forum/grosaccouchement/__f12311_grosaccouchement-Cesarienne-sous-ag-suite-deformation-plateau-vertebrale.html
fr;accouchement;Sage femme et gyneco pas d'accord sur la date d'accouchement;asta4422;28/08/07;31/08/07;3;4;7;9;507;http://forum.aufeminin.com/forum/grosaccouchement/__f6364_grosaccouchement-Sage-femme-et-gyneco-pas-d-accord-sur-la-date-d-accouchement.html
fr;accouchement;Cesarienne en urgence.;emilie59710;10/09/12;17/09/12;7;8;5;6;1184;http://forum.aufeminin.com/forum/grosaccouchement/__f12275_grosaccouchement-Cesarienne-en-urgence.html
